movie_id,actor_id,characters
tt0983946,nm0671567,Mr. Roarke
tt0983946,nm0702572,Gwen Olsen
tt0983946,nm1423955,Melanie Cole
tt0983946,nm3271473,Patrick Sullivan
tt10461238,nm10753582,María
tt10461238,nm6029045,Chica 1
tt10461238,nm5850966,Asaltado Banco
tt10461238,nm0294224,Astrologa
tt10461376,nm12833576,Heroin's Mother
tt10461376,nm11750471,Raj
tt10461376,nm2240044,Father
tt10461512,nm7703267,Gary Sandwich
tt10461512,nm10084241,McHuckleberry
tt10461512,nm9187686,Digby O'Donoghue
tt10461512,nm7703266,Russell
tt10461726,nm8450570,Samantha Henderson
tt10461726,nm9493538,Blacksmith
tt10461726,nm9824249,Wynstone
tt10461740,nm3704163,Allesandra
tt10461740,nm1225104,John
tt10461740,nm6011413,Taylor
tt10461740,nm1769806,Brad Hardwick
tt10462412,nm6233154,Josi
tt10463030,nm5817249,Prithvi Prakashan
tt10463030,nm0709359,Professor Raghuveer Joshi
tt10463030,nm2016476,Vandana
tt10463030,nm3483382,Riaz
tt10463126,nm9129354,Self
tt10463126,nm9234221,Corny
tt10463126,nm11377060,Cheese Corny
tt10463126,nm11377061,Caramel Corny
tt10463488,nm11222492,Podruga sledovatelya
tt10463488,nm2820163,Zhenya Samoylov
tt10463488,nm11222483,Oleg
tt10463488,nm11222490,Brigadir
tt10463692,nm3859710,Rod Davis
tt10463692,nm9518905,Mark Khan
tt10463692,nm9239964,Beth
tt10463692,nm5205877,Mickey The Mouth
tt10464930,nm11327697,T
tt10464930,nm3252350,Talia
tt10464930,nm1936275,Terri
tt10464930,nm5019621,Jane
tt10464930,nm10762613,Anna
tt10464930,nm1422898,Homeless Woman
tt10466338,nm1827483,Emeline Walker-Weiss
tt10466348,nm10167714,Blue
tt10466348,nm9710952,Officer Carmen
tt10466348,nm7130524,Marcus
tt10466348,nm12209043,Black
tt10466616,nm10045781,Cindy
tt10466616,nm8971170,Chris
tt10466616,nm10378031,Lori
tt10466616,nm4169330,Chase
tt10467054,nm3397795,Singaporean Celebrity by the pool
tt10467054,nm4027243,Ren Takahashi
tt10467054,nm5862455,Akira Sonoda
tt10467054,nm6311645,Goto Yumi
tt10467054,nm0047963,Setsuko Murata
tt10467054,nm1966152,Kaoru Kirino
tt10469804,nm7557188,Teddy Pruvost
tt10469804,nm6891141,Rebecca
tt10469804,nm10758456,Pépin Lebref
tt10469804,nm11778432,Benjamin
tt10471804,nm1242939,Miky
tt10471804,nm0022764,Antonio
tt10471804,nm2563706,Vargas
tt10472102,nm0948000,Birol
tt10472102,nm2607253,Ayhan
tt10472102,nm3843449,Deniz|Bahriye
tt10472102,nm1754427,Nuray
tt10472290,nm10762447,Ana
tt10472290,nm10759825,Florencia
tt10472290,nm10759823,Juliana
tt10472290,nm10759824,Lautaro
tt10473076,nm10760376,Thaw Win
tt10473076,nm10760325,Kit Kit
tt10473076,nm10694143,Nay Yaung Khant
tt10473076,nm10760374,Myat Kaung
tt10473076,nm10760371,Thaiddhi
tt10473076,nm10760378,Mya Thant Sin
tt10473088,nm1357278,David Strbac
tt10473088,nm9582364,Judge Blanc
tt10473088,nm7479099,Judge Rouge
tt10473088,nm8676880,Judge Noir
tt10473312,nm0364583,Laura Dempsey
tt10473312,nm0699851,Max
tt10473312,nm0440723,Gus
tt10473312,nm1376997,Tom Dempsey
tt10473598,nm10760814,Private Detective Guy Boyman
tt10473598,nm10760815,Princess Yukova Illinaditch
tt10476500,nm8756123,Lydia
tt10476500,nm2246717,Elizabeth
tt10476500,nm10761543,Michael
tt10476500,nm8633063,Andrew
tt10476500,nm10761544,Blake
tt10476500,nm9343515,Reagan
tt10476500,nm10170597,Samantha
tt10476500,nm9712965,Mr. Bronson
tt10476500,nm10507439,Taryn
tt10476718,nm8476151,Drastic
tt10476718,nm5777864,Mimi
tt10476718,nm5207733,Ben
tt10476718,nm5132478,Izzy
tt10476718,nm4497366,Keenan
tt10476718,nm6512927,Butterfly
tt10476718,nm2620007,Merchant
tt10476718,nm9003490,Stella
tt10476718,nm5290801,Justice
tt10477300,nm9931541,Housekeeper
tt10477300,nm7784583,Sam
tt10477300,nm6601785,Dave
tt10477300,nm7784584,Emma
tt10477300,nm0791851,Judge
tt10477300,nm1142276,Jordan
tt10477300,nm9931539,Cashier
tt10477300,nm9931540,Stockboy
tt10477646,nm10764598,Mona
tt10477646,nm10764599,Sture
tt10477646,nm10764600,Ali Farukh Shah
tt10477646,nm10764601,Henrik
tt10477668,nm7514287,Shelsie
tt10477668,nm10762389,Keira
tt10477668,nm5007661,Atona
tt10477668,nm5293163,Mara
tt10479726,nm10365844,Artist
tt10479726,nm5166272,June the Motel Owner
tt10479726,nm1599833,Julie
tt10479726,nm9592004,Hitchhiker
tt10481184,nm0084709,Ascanio
tt10481184,nm0450290,Jacopo
tt10481184,nm0513394,Enrico
tt10481184,nm0578633,Pietro
tt10481890,nm9288880,Gena
tt10481968,nm3084811,Saro da adulto
tt10481968,nm10130275,Consuelo da adulta
tt10481968,nm2846183,Maria
tt10481968,nm2717364,nonno di Saro
tt10481968,nm12505148,Saro da bambino
tt10481968,nm1747326,papà di Maria
tt10482066,nm7350709,Mike
tt10482066,nm2790980,Paula
tt10482066,nm8363278,Stranger
tt10482072,nm3358260,Lady of the house
tt10482072,nm3056725,Sudhamoy
tt10482072,nm2742573,Ganesh
tt10482072,nm3368782,Chandu
tt10482336,nm0372961,Jane
tt10482336,nm4576311,Arthur
tt10482336,nm1675596,Gary
tt10482336,nm10769413,Boardwalk Hall Volunteer
tt10482504,nm2093873,Yolanda
tt10482504,nm0176869,Steve Coogan
tt10482504,nm0117339,Rob Brydon
tt10482504,nm1721217,Emma
tt10482504,nm0426038,Sally
tt10483728,nm0193883,Narrator
tt10484276,nm2817670,Danny
tt10484276,nm4447460,Susan
tt10484276,nm10929935,Jaime
tt10484276,nm9099375,Vicky
tt10484744,nm0300712,Self
tt10485148,nm1192041,Paul
tt10485148,nm5030941,Anna
tt10485148,nm10768047,Young Paul
tt10485148,nm10392449,Young Anna
tt10485538,nm10766238,Eugenia Bianchi
tt10485538,nm3189014,Luis Tevez
tt10485538,nm10766236,Vadier
tt10485538,nm0901721,Nora
tt10488322,nm12387658,Acousmetre
tt10488322,nm8943457,Thea
tt10489608,nm7760858,Introduction Guy
tt10489608,nm8621020,Cindy Morreur|Clémentin
tt10489608,nm8630124,Urbexeur
tt10489608,nm0168942,Voix Documentaire
tt10492998,nm0017623,Aldo
tt10492998,nm0320495,Giovanni
tt10492998,nm0316034,Giacomo
tt10492998,nm1779469,Barbara
tt11089614,nm1591928,Marc
tt11089614,nm6816078,Ben
tt11089614,nm7799429,Nick
tt11089906,nm4576318,Samantha
tt11089906,nm2754011,Mr. Wheatstraw
tt11089906,nm8428041,Slim
tt11089906,nm6730935,Duke
tt11090020,nm11043413,Kommissar Heiri Weber
tt11090020,nm8110502,Polizeipräsident Bruno Weibel
tt11090020,nm11043416,Wendy Hemund (Nussbaum)
tt11090020,nm11043424,Polizeibeamter Küre
tt11090178,nm7312177,Zuo Kun
tt11090178,nm10658874,A Zhi
tt11090178,nm11043508,A Ming
tt11090178,nm11043507,Tong Shao jie
tt11090306,nm8461537,Roque
tt11090306,nm13405731,Juan Luis
tt11090306,nm4424083,Carlos
tt11090306,nm11043606,Leudys
tt11090390,nm8073212,Sienna
tt11090390,nm3041037,Frankie conners
tt11090390,nm10138494,Andrew
tt11090390,nm1792844,Mike
tt11091664,nm9637674,Jane
tt11091664,nm5305323,Jane's Male Classmate
tt11091664,nm12414948,Jane's Bestfriend
tt11091664,nm1379134,Bea Alonzo
tt11092784,nm10850966,Agente servizi segreti 7
tt11092784,nm11073009,Agente di governo
tt11092784,nm11073023,Mafioso napoletano 4
tt11092784,nm11073018,Poliziotto 2
tt11093134,nm2072440,Jérémie Meyer
tt11093134,nm0000882,Bernadette Meyer
tt11093134,nm1798489,Albert
tt11093134,nm9065614,Kévin
tt11093580,nm8523759,Trynn
tt11094142,nm2740384,Farban
tt11094142,nm11045449,Petar
tt11094142,nm11045448,Deki
tt11095208,nm10876298,Sam Frenandez
tt11095458,nm2348740,Jacob
tt11095458,nm11060096,Josh
tt11095458,nm9505714,Cameron
tt11095458,nm11050403,Dad
tt11096100,nm4126820,Franny Fearless
tt11096100,nm0165870,Cathy
tt11096100,nm1096575,Ncik
tt11096100,nm0272608,Clare
tt11097402,nm2746398,George
tt11097402,nm2915194,JoJo
tt11097402,nm6803875,Doof
tt11097402,nm9529187,Ike
tt11097942,nm0139528,Antonio
tt11097942,nm5077317,Leo
tt11097942,nm8078476,Antonio (young)
tt11097942,nm3202238,Mady
tt11100724,nm10174305,Pooja
tt11100724,nm11182986,Manpreet
tt11100724,nm10383664,Amit
tt11100724,nm4707750,Trevor
tt11100856,nm0000337,Susan Whitaker
tt11100856,nm0915458,Nick Evans
tt11100856,nm0001287,Tamara Taylor
tt11100856,nm3230806,Melanie
tt11102242,nm1284020,Nimfa Dimaano
tt11102242,nm2049965,Iñigo Villanueva
tt11102242,nm1107053,Roger Europeo
tt11102242,nm1493532,Jerry
tt11102354,nm1171171,Padre Antonio Claret
tt11102354,nm2080280,Azorin
tt11102354,nm9224613,Reina Isabel II
tt11102354,nm1831573,Julia (Esposa Azorín)
tt11102688,nm1620124,JD (Jacob Deon)
tt11102688,nm9533935,Tom Anderson
tt11106608,nm9790747,Cassie
tt11106608,nm7686299,Jenna
tt11106608,nm10917381,Jezebel
tt11107090,nm8084348,Jason Wicks
tt11107090,nm11668112,Sarah Smith
tt11107090,nm11668113,Hulo Algarz
tt11107090,nm11668111,Trisian Smith
tt11107978,nm1560351,Edward
tt11107978,nm0404722,Brightheart
tt11107978,nm9334009,King Cyrus|Albert
tt11107978,nm6471048,Twigg
tt11111232,nm2622170,Marco
tt11111232,nm11052456,Valentina
tt11111232,nm0833488,Márcia
tt11111232,nm2363124,Renato
tt11111232,nm11053581,Júlio
tt11111232,nm11749304,Lindalva
tt11111286,nm0513598,Seymour Barr|Gordon St. Pierre
tt11111286,nm0462712,Self
tt11111286,nm1589316,Maisey
tt11111286,nm0000893,John Lehman
tt11112338,nm8657330,Feroz Sahib
tt11112338,nm6229968,Azad Sound Recordist in Tele Cinema
tt11112338,nm5852449,Siraj
tt11112338,nm7837226,Thoufeeq
tt11112526,nm6442009,Indira Gupta a.k.a 'Indoo'
tt11112526,nm1249077,Samar Khan
tt11112526,nm8647738,Sonal Makhija
tt11114708,nm6263559,Jenny
tt11114708,nm0403937,Paul
tt11114708,nm3573350,Erik
tt11114708,nm3061574,Lauren
tt11114992,nm4636683,Bruno
tt11114992,nm1082876,Dusa
tt11114992,nm0136036,Dare
tt11114992,nm1009594,Nurse
tt11115834,nm8449937,Paul
tt11115834,nm8190501,Mamo
tt11115834,nm3295463,Rich-E
tt11115834,nm8841751,Alina
tt11115876,nm1184573,Will
tt11115876,nm9684660,Raphael
